ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1990,15,15,15,15,15,15,15,15,15,15
10002,1,1,1990,19,19,19,19,19,19,19,19,19,19
10003,1,1,1990,0,0,0,0,0,0,0,0,0,0
10003,2,1,1990,0,0,0,0,0,0,0,0,0,0
10004,1,1,1990,11,11,11,11,11,11,11,11,11,11
10004,2,1,1990,6,0,0,0,25,0,0,0,0,0
10005,1,1,1990,24,24,24,24,24,24,24,24,24,24
10005,2,1,1990,0,0,0,0,0,0,0,0,0,0
10005,3,1,1990,0,0,0,0,0,0,0,0,0,0
10006,1,1,1990,0,0,0,0,0,0,0,0,0,0
10006,2,1,1990,0,0,0,0,0,0,0,0,0,0
10007,0,1,1990,0,0,0,0,0,0,0,0,0,0
10007,1,1,1990,0,0,0,0,0,0,0,0,0,0
10008,1,1,1990,7,7,7,7,7,7,7,7,7,7
10009,0,1,1990,10,33,18,48,20,15,34,16,25,44
10009,1,1,1990,0,0,0,0,0,6,0,0,0,0
10010,1,1,1990,0,0,0,0,0,0,0,0,0,0
10011,1,1,1990,16,16,16,16,16,16,16,16,16,16
10012,1,1,1990,0,0,0,0,0,0,0,0,0,0
10012,2,1,1990,11,0,0,0,0,0,0,13,0,0
10013,1,1,1990,0,0,0,0,0,0,17,0,0,0
10014,1,1,1990,7,7,7,7,7,7,7,7,7,7
10015,1,1,1990,10,19,22,0,12,14,16,22,16,26
10016,1,1,1990,5,5,5,5,5,5,5,5,5,5
10017,1,1,1990,0,0,0,0,0,8,16,0,0,0
10017,2,1,1990,0,0,0,0,0,0,0,0,0,0
10018,1,1,1990,28,28,28,28,28,28,28,28,28,28
10019,1,1,1990,0,0,0,0,0,0,0,0,0,0
10020,1,1,1990,0,0,0,17,0,11,0,0,0,7
10021,1,1,1990,0,0,0,0,0,8,18,0,0,0
10021,2,1,1990,0,0,0,0,0,0,0,0,0,0
10022,1,1,1990,0,0,0,0,0,0,0,0,0,0
10022,2,1,1990,0,0,0,0,0,0,0,0,0,0
10023,1,1,1990,0,0,10,0,0,0,0,0,0,20
10023,2,1,1990,0,0,0,0,0,0,0,0,0,0
10023,3,1,1990,0,0,0,0,0,0,0,0,0,0
10023,4,1,1990,0,0,0,0,0,0,0,0,0,0
10024,1,1,1990,0,0,0,0,0,0,0,0,0,0
10024,2,1,1990,0,0,0,0,0,0,0,0,0,0
10025,1,1,1990,0,0,0,0,0,0,0,0,0,0
10025,2,1,1990,0,0,0,0,0,0,0,0,0,0
10026,1,1,1990,29,31,39,14,28,28,24,9,29,41
10027,1,1,1990,0,0,34,0,17,0,18,0,0,0
10028,1,1,1990,20,20,20,20,20,20,20,20,20,20
10029,0,1,1990,19,0,25,0,10,0,0,0,25,0
10029,1,1,1990,0,0,0,0,0,0,0,0,0,0
10030,0,1,1990,0,30,24,0,0,0,0,0,0,0
10030,1,1,1990,0,5,0,0,0,0,12,0,15,0
10031,1,1,1990,0,12,0,0,18,0,0,1,11,10
10032,0,1,1990,8,8,8,8,8,8,8,8,8,8
10032,1,1,1990,22,22,22,22,22,22,22,22,22,22
10033,0,1,1990,0,0,0,0,0,0,0,0,19,0
